Time [s],0.5mV,1mV,1.5mV,2mV,2.5mV,3mV,3.5mV,4mV,4.5mV,5mV
1.0119,1.870055561,2.240126122,2.610196683,2.980267244,3.350337805,3.720408365,4.090478926,4.460549487,4.830620048,5.200690609
1.012,1.872569019,2.245153039,2.617737058,2.990321077,3.362905096,3.735489116,4.108073135,4.480657154,4.853241174,5.225825193
1.0121,1.873612059,2.247239118,2.620866176,2.994493235,3.368120294,3.741747353,4.115374411,4.48900147,4.862628529,5.236255588
1.0122,1.873180563,2.246376126,2.619571689,2.992767252,3.365962815,3.739158378,4.112353941,4.485549504,4.858745066,5.231940629
1.0123,1.871276235,2.24256747,2.613858704,2.985149939,3.356441174,3.727732408,4.099023643,4.470314878,4.841606113,5.212897347
1.0124,1.86790659,2.235828179,2.603749769,2.971671359,3.339592948,3.707514538,4.075436127,4.443357717,4.811279307,5.179200896
1.0125,1.863084926,2.226184852,2.589284778,2.952384705,3.315484631,3.678584557,4.041684483,4.404784409,4.767884335,5.130984261
1.0126,1.856830273,2.213675546,2.570520819,2.927366092,3.284211365,3.641056639,3.997901912,4.354747185,4.711592458,5.068437731
1.0127,1.849167315,2.19834963,2.547531944,2.896714259,3.245896574,3.595078889,3.944261203,4.293443518,4.642625833,4.991808148
1.0128,1.840126294,2.180267587,2.52040888,2.860550174,3.200691467,3.54083276,3.880974054,4.221115347,4.561256641,4.901397934
1.0129,1.82974289,2.15950078,2.489258669,2.819016559,3.148774449,3.478532338,3.808290228,4.138048118,4.467806008,4.797563897
1.013,1.818058082,2.136131165,2.454204247,2.772277329,3.090350412,3.408423494,3.726496576,4.044569659,4.362642741,4.680715823
1.0131,1.805117986,2.110250972,2.415383957,2.720516943,3.025649929,3.330782915,3.6359159,3.941048886,4.246181872,4.551314858
1.0132,1.790973669,2.081962338,2.372951006,2.663939675,2.954928344,3.245917012,3.536905681,3.82789435,4.118883019,4.409871687
1.0133,1.775680952,2.051376905,2.327072857,2.60276881,2.878464762,3.154160714,3.429856667,3.705552619,3.981248571,4.256944524
1.0134,1.75930019,2.01861538,2.27793057,2.53724576,2.79656095,3.05587614,3.31519133,3.57450652,3.83382171,4.0931369
1.0135,1.741896029,1.983807058,2.225718087,2.467629116,2.709540145,2.951451175,3.193362204,3.435273233,3.677184262,3.919095291
1.0136,1.723537156,1.947089312,2.170641468,2.394193623,2.617745779,2.841297935,3.064850091,3.288402247,3.511954403,3.735506558
1.0137,1.704296025,1.908607049,2.112918073,2.317229098,2.521540122,2.725851146,2.930162171,3.134473195,3.338784219,3.543095244
1.0138,1.684248571,1.868512141,2.052775712,2.237039283,2.421302853,2.605566424,2.789829994,2.974093565,3.158357136,3.342620706
1.0139,1.663473913,1.826962826,1.990451738,2.153940651,2.317429564,2.480918477,2.644407389,2.807896302,2.971385215,3.134874128
